scheme,model,feature,family,gain
cold_cell,lgbm_chem_bio,chem_aromatic_rings_sum,Chemistry: descriptors & similarity,0.01796793796262519
random,lgbm_all,te_drug_min,Screen history: in-fold mean ZIP,0.01787892374102315
random,lgbm_mono,mono_inh_max_min,Monotherapy response,0.017861863526458868
cold_pair,lgbm_all_no_history,chem_logp_sum,Chemistry: descriptors & similarity,0.01785205286671004
random,lgbm_all_no_history,chem_logp_sum,Chemistry: descriptors & similarity,0.017790723376174922
cold_pair,lgbm_chem_bio,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.017782549122500064
random,lgbm_all,mono_headroom,Monotherapy response,0.01775902319819284
cold_cell,lgbm_chem_bio,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.017639270757679546
cold_drug,lgbm_all,mono_headroom,Monotherapy response,0.017475535018661628
cold_cell,lgbm_mono,te_cell,Screen history: in-fold mean ZIP,0.017422450875675566
cold_cell,lgbm_mono,mono_inh_max_min,Monotherapy response,0.01736868946961831
cold_drug,lgbm_all,te_drug_max,Screen history: in-fold mean ZIP,0.017309389541552245
cold_drug,lgbm_chem_bio,chem_tpsa_sum,Chemistry: descriptors & similarity,0.017190987668220428
cold_pair,lgbm_mono,mono_headroom,Monotherapy response,0.01708967832123944
cold_pair,lgbm_all,te_drug_max,Screen history: in-fold mean ZIP,0.01678984670588235
cold_cell,lgbm_all_no_history,chem_logp_sum,Chemistry: descriptors & similarity,0.01670734316683713
cold_cell,lgbm_all,te_drug_min,Screen history: in-fold mean ZIP,0.016690681372516464
cold_drug,lgbm_mono,mono_headroom,Monotherapy response,0.016480683246799296
cold_pair,lgbm_chem_bio,chem_tpsa_sum,Chemistry: descriptors & similarity,0.016434873435599833
random,lgbm_chem_bio,chem_tpsa_sum,Chemistry: descriptors & similarity,0.016252872628449874
cold_drug,lgbm_chem_bio,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.016239957030167604
cold_pair,lgbm_chem_bio,chem_rings_sum,Chemistry: descriptors & similarity,0.016100080582922574
cold_cell,lgbm_chem_bio,chem_tpsa_sum,Chemistry: descriptors & similarity,0.015953125413041714
cold_drug,lgbm_chem_bio,chem_rings_sum,Chemistry: descriptors & similarity,0.01573554737091094
cold_pair,lgbm_chem_bio,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.015368312236985296
cold_pair,lgbm_chem_bio,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.015343399381889023
random,lgbm_chem_bio,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.015318969985830525
